Прайс-лист для Участников Компании АРГО						
Действителен на момент публикации 02.10.2014. Не является офертой (ст. 437 ГК РФ)						
Код	Наименование	Цена* за единицу, руб.	Баллы	Блок, едениц		Для расчета цен с учетом транспортного коэффициента введите в ячейку расположенную под этой надписью свой транспортный коэффициент в процентах.
1022	Крем-бальзам «Артро-Хвоя», 50 мл	172	10	15		
1011	Крем-бальзам «Донна», 50 мл	171	11	8		
1028	Крем-бальзам «Зимний», 50 мл	162	10	15		
1026	Крем-бальзам «Таежный», 50 мл	205	13	15		
1023	Крем-бальзам «Целитель», 50 мл	189	12	15		
1015	Крем-дезодорант для ног «Степ», 50 мл	173	11	8		
1030	Лед косметич. отбеливающий «Аврора», лосьон для пригот. льда, 200 мл	138	9	6		
1016	Лосьон для размягчения огрубевшей кожи, 10 мл	126	8	9		
1018	Средство для сухой чистки рук «Автошик», 125 мл	105	7	7		
1020	Средство по уходу за ногтями «Миг», порошок, 50 г	138	9	4		
1025	Средство по уходу за полостью рта «АргоДент», 200 мл	187	12	6		
	Дэльфа					
0519	Коврик массажный для сиденья «Таежный целитель»	671	42	2		
0522	Масло «Богатырское», 200 мл	266	16	5		
0503	Масло «Долголетие», капсулы, 100 шт	271	16	12		
0504	Масло «Здравие», капсулы, 100 шт	265	16	12		
0523	Масло «Молодильное», 200 мл	283	17	5		
0524	Масло «Целительное», 200 мл	289	17	5		
0513	Масло кедровое с боярышником, капсулы, 100 шт	295	17	12		
0506	Масло кедровое с калиной (с витамином Е), капсулы, 100 шт	311	18	12		
0505	Масло кедровое с провитамином А, капсулы, 100 шт	325	19	12		
0507	Масло кедровое, капсулы, 100 шт	291	17	12		
0512	Продукт белково-витаминный «Кедровая сила - 2», 237 г	613	35	4		
0517	Продукт белково-витаминный «Кедровая сила - Боярская», 237 г	613	35	4		
0518	Продукт белково-витаминный «Кедровая сила - Спортивная», 237 г	600	35	4		
0511	Продукт белково-витаминный «Кедровая сила», 237 г	600	35	4		
0520	Продукт белково-витаминный «Кедровые сливки с шоколадом», 237 г	778	45	4		
0521	Продукт белково-витаминный «Кедровые сливки», 237 г	778	45	4		
	Здравимпэкс					
3901	Браслет-индикатор ультрафиолетового излучения	114	6	10		
3902	Термометр жидкокристаллический (полоска)	114	6	25		
3903	Термометр жидкокристаллический для детского купания	114	6	25		
3904	Термометр жидкокристаллический для детской бутылочки, 2 шт	114	6	25		
3905	Термометр жидкокристаллический для непрерывного измерения температуры тела, 3 шт	114	6	25		
3906	Термометр жидкокристаллический комнатный	114	6	25		
	Интеллект-К					
	Декоративная косметика					
8031	База под лак	223	11	1		
8116	Бальзам для губ «Голубая лагуна»	143	7	1		
8129	Блеск для губ  	229	11	1		
8130	Блеск для губ  	229	11	1		
8131	Блеск для губ  	202	10	1		
8132	Блеск для губ  	202	10	1		
8133	Блеск для губ  	202	10	1		
8104	Блеск для губ «Шоколадный поцелуй»	160	8	1		
8105	Блеск для губ «Шоколадный поцелуй»	160	8	1		
8106	Блеск для губ «Шоколадный поцелуй»	160	8	1		
8107	Блеск для губ «Шоколадный поцелуй»	160	8	1		
8108	Блеск для губ «Шоколадный поцелуй»	160	8	1		
8150	Выкраски для лаков	223	11	1		
8083	Карандаш для бровей	137	7	1		
8149	Карандаш для бровей патина	137	7	1		
8084	Карандаш для век	137	7	1		
8085	Карандаш для век	137	7	1		
8086	Карандаш для век	121	6	1		
8087	Карандаш для век	121	6	1		
8101	Карандаш для век с растушевкой	185	9	1		
8102	Карандаш для век с растушевкой	185	9	1		
8088	Карандаш для губ	121	6	1		
8089	Карандаш для губ	121	6	1		
8090	Карандаш для губ	121	6	1		
8091	Карандаш для губ	121	6	1		
8092	Карандаш для губ	121	6	1		
8099	Карандаш для французского маникюра	101	5	1		
8094	Карандаш-тени для век	182	9	1		
8095	Карандаш-тени для век	182	9	1		
8096	Карандаш-тени для век	182	9	1		
8097	Карандаш-тени для век	182	9	1		
8098	Карандаш-тени для век	182	9	1		
8151	Кисточки (комплект)	188	0	1		
8120	Корректор «Морские камешки»	146	7	1		
8121	Корректор «Морские камешки»	146	7	1		
8122	Корректор «Морские камешки»	146	7	1		
8153	Косметичка-саквояж	425	0	1		
8103	Крем сыворотка для ресниц «Голубая лагуна»	179	9	1		
0983	Крем тональный 01 бежевый, 30 мл	406	22	1		
0984	Крем тональный 01 светло-бежевый, 30 мл	406	22	1		
0985	Крем тональный 02 пастельный, 30 мл	406	22	1		
0986	Крем тональный 02 светло-пастельный, 30 мл	406	22	1		
8063	Крем-помада	307	15	1		
8064	Крем-помада	307	15	1		
8065	Крем-помада	307	15	1		
8066	Крем-помада	307	15	1		
8067	Крем-помада	307	15	1		
8068	Крем-помада	307	15	1		
8069	Крем-помада	307	15	1		
8070	Крем-помада	307	15	1		
8037	Крем-пудра «Hydrodermic» тон №1	555	27	1		
8038	Крем-пудра «Hydrodermic» тон №2	555	27	1		
8004	Лак для ногтей голография, 15 мл 	246	12	1		
8006	Лак для ногтей перламутр, 15 мл 	207	10	1		
8008	Лак для ногтей перламутр, 15 мл 	201	10	1		
8009	Лак для ногтей перламутр, 15 мл 	207	10	1		
8010	Лак для ногтей перламутр, 15 мл 	201	10	1		
8011	Лак для ногтей перламутр, 15 мл 	207	10	1		
8012	Лак для ногтей перламутр, 15 мл 	207	10	1		
8013	Лак для ногтей перламутр, 15 мл 	201	10	1		
8014	Лак для ногтей перламутр, 15 мл 	207	10	1		
8015	Лак для ногтей перламутр, 15 мл 	201	10	1		
8018	Лак для ногтей перламутр, 15 мл 	207	10	1		
8019	Лак для ногтей перламутр, 15 мл 	201	10	1		
8020	Лак для ногтей перламутр, 15 мл 	201	10	1		
8021	Лак для ногтей перламутр, 15 мл 	201	10	1		
8028	Лак для ногтей перламутр, 15 мл 	201	10	1		
8029	Лак для ногтей перламутр, 15 мл 	246	12	1		
8030	Лак для ногтей перламутр, 15 мл 	201	10	1		
8007	Лак для ногтей перламутр, 15 мл 	230	11	1		
8003	Лак для ногтей сияющие блестки, 15 мл 	246	12	1		
8002	Лак для ногтей топ для темных лаков, 15 мл 	207	10	1		
8005	Лак для ногтей эмаль, 15 мл 	207	10	1		
8016	Лак для ногтей эмаль, 15 мл 	201	10	1		
8017	Лак для ногтей эмаль, 15 мл 	201	10	1		
8022	Лак для ногтей эмаль, 15 мл 	201	10	1		
8023	Лак для ногтей эмаль, 15 мл 	201	10	1		
8024	Лак для ногтей эмаль, 15 мл 	201	10	1		
8025	Лак для ногтей эмаль, 15 мл 	201	10	1		
8026	Лак для ногтей эмаль, 15 мл 	201	10	1		
8027	Лак для ногтей эмаль, 15 мл 	201	10	1		
8093	Подводка для век	223	11	1		
8117	Помада для губ «Крем-брюле»	146	7	1		
8118	Помада для губ «Крем-брюле»	146	7	1		
8119	Помада для губ «Крем-брюле»	146	7	1		
8071	Помада увлажняющая	291	14	1		
8072	Помада увлажняющая	291	14	1		
8073	Помада увлажняющая	291	14	1		
8074	Помада увлажняющая	291	14	1		
8075	Помада увлажняющая	291	14	1		
8076	Помада увлажняющая	291	14	1		
8077	Помада увлажняющая	291	14	1		
8078	Помада увлажняющая	291	14	1		
8079	Помада увлажняющая	291	14	1		
8080	Помада увлажняющая	291	14	1		
8081	Помада увлажняющая	291	14	1		
8082	Помада увлажняющая	291	14	1		
8109	Помада-блеск «Карамельный микс»	268	13	1		
8110	Помада-блеск «Карамельный микс»	268	13	1		
8111	Помада-блеск «Карамельный микс»	268	13	1		
8112	Помада-блеск «Карамельный микс»	268	13	1		
8113	Помада-блеск «Карамельный микс»	268	13	1		
8114	Помада-блеск «Карамельный микс»	268	13	1		
8115	Помада-блеск «Карамельный микс»	268	13	1		
8035	Пудра «Камея» двухцветная тон №1	531	26	1		
8036	Пудра «Камея» двухцветная тон №2	531	26	1		
8033	Пудра компактная «Extra fine»	471	23	1		
8034	Пудра компактная «Extra fine»	471	23	1		
8032	Сушка	223	11	1		
8124	Тени гелевые	203	10	1		
8125	Тени гелевые	203	10	1		
8126	Тени гелевые	203	10	1		
8127	Тени гелевые	203	10	1		
8128	Тени гелевые	203	10	1		
8048	Тени компактные «Луна» бежево-розовые перламутровые	263	13	1		
8055	Тени компактные «Луна» бежевые матовые	263	13	1		
8043	Тени компактные «Луна» белые перламутровые	263	13	1		
8058	Тени компактные «Луна» голубые перламутровые	263	13	1		
8052	Тени компактные «Луна» желтые перламутровые	263	13	1		
8062	Тени компактные «Луна» коричневые перламутровые	263	13	1		
8046	Тени компактные «Луна» розовые матовые	263	13	1		
8045	Тени компактные «Луна» светло-коричневые перламутровые	263	13	1		
8059	Тени компактные «Луна» светло-салатовые матовые	263	13	1		
8047	Тени компактные «Луна» светло-сиреневые матовые	263	13	1		
8050	Тени компактные «Луна» серо-бежевые перламутровые	263	13	1		
8049	Тени компактные «Луна» серовато-белые перламутровые	263	13	1		
8044	Тени компактные «Луна» серо-голубые перламутровые	263	13	1		
8057	Тени компактные «Луна» синие матовые	263	13	1		
8054	Тени компактные «Луна» тёмно-бежевые перламутровые	263	13	1		
8060	Тени компактные «Луна» тёмно-коричневые перламутровые	263	13	1		
8051	Тени компактные «Луна» тёмно-серые перламутровые	263	13	1		
8061	Тени компактные «Луна» тёмно-сиреневые перламутровые	263	13	1		
8053	Тени компактные «Луна» фисташковые перламутровые	263	13	1		
8056	Тени компактные «Луна» чёрные матовые	263	13	1		
8147	Тени компактные для век (5-цв.) жёлто-золотые	558	27	1		
8157	Тени компактные для век (5-цв.) зеленые	558	27	1		
8146	Тени компактные для век (5-цв.) розово-серые	558	27	1		
8156	Тени компактные для век (5-цв.) черно-белые	558	27	1		
8042	Тени-румяна «Belt» двухцветные	495	24	1		
8041	Тени-румяна «Samarcand» трехцветные	514	25	1		
8039	Тени-румяна «Senset» трехцветные	511	25	1		
8148	Точилка для карандашей	268	13	1		
8123	Тушь для ресниц «Голубая лагуна» черная	307	15	1		
8141	Тушь для ресниц коричневая  	248	12	1		
8139	Тушь для ресниц серая  	248	12	1		
8142	Тушь для ресниц синяя  	248	12	1		
8143	Тушь для ресниц фиолетовая 	248	12	1		
8144	Тушь для ресниц хаки 	248	12	1		
8140	Тушь для ресниц черная  	291	14	1		
8145	Тушь-уход для ресниц белая	248	12	1		
	Парфюмерно-косметическая продукция					
	Парфюмерная продукция					
2942	Вода туалетная «Alex», 50 мл	598	32	1		
2944	Вода туалетная «Анна-Мария», 7,5 мл	498	27	1		
2943	Вода туалетная «Валентинка», 7,5 мл	465	25	1		
0968	Вода туалетная «Лидер», 8 мл	316	17	10		
2945	Вода туалетная «Я люблю АРГО», 7,5 мл	481	26	1		
2940	Духи «Мой стиль», 30 мл	687	37	1		
0981	Духи «Мой стиль», 5 мл	316	17	10		
	Средства для детей					
0991	Дымка для тела SPF-25 «Аргоша», 100 мл	426	23	1		
0971	Крем детский с календулой «Аргоша», 50 мл	200	11	10		
0972	Масло противовоспалительное с шиповником «Аргоша», 150 мл	256	14	10		
0973	Молочко бархатистое с маслом моркови «Аргоша», 150 мл	262	14	10		
0974	Пена для ванн с pH 5,5 «Аргоша», 300 мл	258	14	7		
0975	Пенка для умывания ласковая «Аргоша», 200 мл	311	17	8		
0976	Шампунь без слез с ромашкой «Аргоша», 200 мл	200	11	10		
	Средства для мужчин					
2948	Актив-гидратант после бритья, 50 мл	310	17	1		
0963	Лосьон после бритья тонизирующий, 150 мл	223	12	6		
2949	Масло для бритья «2 в 1», 50 мл	388	21	1		
	Уход за волосами					
2959	Бальзам для волос интенсивное увлажнение, блеск и объем, 250 мл	314	17	10		
0951	Кондиционер-ополаскиватель, 150 мл	236	13	7		
2917	Кондиционер-ополаскиватель, тестер, 50 мл	70	4	5		
2958	Крем-шампунь для волос и тела «HYDRO COMFORT», 250 мл	353	19	10		
0953	Лосьон для укрепления и роста волос, 150 мл	279	15	6		
2957	Шампунь активный Анти-перхоть, 250 мл	335	18	10		
0954	Шампунь балансирующий «3 в 1», 250 мл	334	18	10		
2918	Шампунь балансирующий «3 в 1», тестер, 50 мл	70	4	5		
2956	Шампунь интенсивное увлажнение, блеск и объем «AQUA BALANCE», 250 мл	348	19	10		
2919	Шампунь профилактический (анти-перхоть), тестер, 50 мл	70	4	5		
	Уход за кожей тела					
2946	Крем + массажер для профилактики целлюлита, 100 мл	389	21	1		
0994	Крем для рук и тела, 100 мл	409	22	9		
0941	Крем-бальзам для ног бактерицидный, 100 мл	296	16	10		
0942	Масло для тела питательное шелковое, 150 мл	311	17	6		
2954	Мыло жидкое «Ванильное настроение», 300 мл	258	14	24		
2953	Мыло жидкое «Молочный шоколад», 300 мл	258	14	24		
2955	Мыло жидкое «Океанский бриз», 300 мл	385	21	24		
2951	Мыло жидкое «Цитрусовый фреш», 300 мл	385	21	24		
2952	Мыло жидкое «Ягодное суфле», 300 мл	385	21	24		
0945	Пенка для интимного ухода, 200 мл	390	21	8		
0995	Пенка для тела, 200 мл	423	23	8		
0996	Пудра жидкая для тела парфюмированная, 150 мл	577	31	6		
	Уход за комбинированной и жирной кожей лица					
2947	Гель-актив себоконтроль с экстрактом мандарина, 15 мл	316	17	1		
0993	Крем-баланс антиоксидант, 75 мл	406	22	10		
0933	Лосьон-тоник противовоспалительный, 200 мл	389	21	8		
2928	Молочко Цветочное, демакияж + очищение, 80 мл	421	23	1		
0935	Пенка для умывания с экстрактом красных листьев винограда, 200 мл	366	20	8		
	Уход за сухой и нормальной кожей лица и шеи					
8138	База под макияж ANTI-AGE корректирующая для всех типов кожи, 30 мл	424	21	1		
2927	Комплекс Фруктовый, демакияж + очищение, 80 мл	427	23	1		
2930	Крем вечерний уход, восстанавливающий 25+, 50 мл	687	37	1		
2932	Крем вечерний уход, омолаживающий 45+, 50 мл	848	45	1		
0902	Крем дневной SPF-8, 30 мл	382	21	6		
2929	Крем дневной уход, активная защита 25+, 50 мл	635	34	1		
2931	Крем дневной уход, интенсивное увлажнение 45+, 50 мл	818	45	1		
0905	Крем увлажняющий биоактивный, 30 мл	537	29	3		
0906	Крем увлажняющий, 150 мл	500	27	6		
0907	Крем-желе для век SPF-5, 30 мл	459	25	6		
0903	Крем-лифтинг SPF-4, 30 мл	423	23	6		
0908	Крем-маска ботанический комплекс-активатор, 75 мл	392	21	10		
0992	Крем-эксфолиант с эффектом пилинга, 75 мл	278	15	10		
2936	Лифтинг-сыворотка для век, 15 мл	498	27	1		
